fecha,Visitantes totales
2013-11-15,11081
2013-11-16,5995
2013-11-17,3200
2013-11-18,11040
2013-11-19,10267
2013-11-20,10524
2013-11-21,11415
2013-11-22,11040
2013-11-23,5962
2013-11-24,3227
2013-11-25,10441
2013-11-26,10882
2013-11-27,9877
2013-11-28,10248
2013-11-29,10630
2013-11-30,5232
2013-12-01,2738
2013-12-02,10106
2013-12-03,10014
2013-12-04,10488
2013-12-05,11259
2013-12-06,4477
2013-12-07,6024
2013-12-08,3423
2013-12-09,10416
2013-12-10,10511
2013-12-11,10479
2013-12-12,10530
2013-12-13,10837
2013-12-14,6075
2013-12-15,3576
2013-12-16,10571
2013-12-17,10293
2013-12-18,10465
2013-12-19,9946
2013-12-20,8663
2013-12-21,5794
2013-12-22,3356
2013-12-23,10649
2013-12-24,6830
2013-12-25,1422
2013-12-26,3475
2013-12-27,10250
2013-12-28,6275
2013-12-29,3684
2013-12-30,10644
2013-12-31,6681
2014-01-01,2037
2014-01-02,9595
2014-01-03,9885
2014-01-04,5467
2014-01-05,3239
2014-01-06,3003
2014-01-07,10720
2014-01-08,10418
2014-01-09,10325
2014-01-10,11151
2014-01-11,6026
2014-01-12,3311
2014-01-13,10437
2014-01-14,10527
2014-01-15,10601
2014-01-16,10220
2014-01-17,9663
2014-01-18,5442
2014-01-19,3207
2014-01-20,6524
2014-01-21,10944
2014-01-22,9918
2014-01-23,9804
2014-01-24,10902
2014-01-25,6149
2014-01-26,3618
2014-01-27,10624
2014-01-28,10476
2014-01-29,10613
2014-01-30,9547
2014-01-31,10864
2014-02-01,5757
2014-02-02,3678
2014-02-03,10792
2014-02-04,10752
2014-02-05,10102
2014-02-06,11168
2014-02-07,11361
2014-02-08,6707
2014-02-09,3993
2014-02-10,10939
2014-02-11,11469
2014-02-12,11897
2014-02-13,11736
2014-02-14,12815
2014-02-15,7739
2014-02-16,4489
2014-02-17,12307
2014-02-18,12286
2014-02-19,12697
2014-02-20,13173
2014-02-21,13473
2014-02-22,8384
2014-02-23,5253
2014-02-24,13546
2014-02-25,13341
2014-02-26,13640
2014-02-27,13424
2014-02-28,13215
2014-03-01,7085
2014-03-02,5801
2014-03-03,13290
2014-03-04,14604
2014-03-05,15142
2014-03-06,15201
2014-03-07,15920
2014-03-08,10264
2014-03-09,6945
2014-03-10,15735
2014-03-11,15915
2014-03-12,16245
2014-03-13,16197
2014-03-14,16212
2014-03-15,10910
2014-03-16,6848
2014-03-17,16212
2014-03-18,15843
2014-03-19,16489
2014-03-20,16577
2014-03-21,17239
2014-03-22,10714
2014-03-23,7368
2014-03-24,17419
2014-03-25,16908
2014-03-26,16733
2014-03-27,17087
2014-03-28,17209
2014-03-29,11190
2014-03-30,5921
2014-03-31,17122
2014-04-01,16818
2014-04-02,18412
2014-04-03,18574
2014-04-04,17706
2014-04-05,14254
2014-04-06,9803
2014-04-07,21843
2014-04-08,20720
2014-04-09,21504
2014-04-10,21722
2014-04-11,23245
2014-04-12,15689
2014-04-13,10686
2014-04-14,23147
2014-04-15,24609
2014-04-16,24110
2014-04-17,16209
2014-04-18,12232
2014-04-19,18191
2014-04-20,12543
2014-04-21,14725
2014-04-22,26558
2014-04-23,23677
2014-04-24,23757
2014-04-25,22133
2014-04-26,17230
2014-04-27,13307
2014-04-28,26296
2014-04-29,24357
2014-04-30,25881
2014-05-01,16306
2014-05-02,32879
2014-05-03,20135
2014-05-04,17936
2014-05-05,28849
2014-05-06,30837
2014-05-07,32877
2014-05-08,31568
2014-05-09,30674
2014-05-10,20508
2014-05-11,19344
2014-05-12,32075
2014-05-13,39312
2014-05-14,31059
2014-05-15,31080
2014-05-16,31986
2014-05-17,23869
2014-05-18,24297
2014-05-19,30428
2014-05-20,36959
2014-05-21,30901
2014-05-22,35649
2014-05-23,28241
2014-05-24,26817
2014-05-25,21782
2014-05-26,35470
2014-05-27,34244
2014-05-28,38575
2014-05-29,36189
2014-05-30,33141
2014-05-31,23387
2014-06-01,22725
2014-06-02,39694
2014-06-03,33682
2014-06-04,33327
2014-06-05,34827
2014-06-06,40611
2014-06-07,24442
2014-06-08,21190
2014-06-09,33504
2014-06-10,36174
2014-06-11,35059
2014-06-12,34285
2014-06-13,33787
2014-06-14,27781
2014-06-15,31086
2014-06-16,40131
2014-06-17,36401
2014-06-18,40630
2014-06-19,35972
2014-06-20,35356
2014-06-21,29719
2014-06-22,25154
2014-06-23,40971
2014-06-24,42146
2014-06-25,39997
2014-06-26,36595
2014-06-27,36648
2014-06-28,28984
2014-06-29,32016
2014-06-30,36719
2014-07-01,37530
2014-07-02,42870
2014-07-03,42750
2014-07-04,35436
2014-07-05,28362
2014-07-06,24157
2014-07-07,46580
2014-07-08,36955
2014-07-09,40203
2014-07-10,42576
2014-07-11,38633
2014-07-12,33911
2014-07-13,25543
2014-07-14,42753
2014-07-15,43456
2014-07-16,40941
2014-07-17,40439
2014-07-18,39696
2014-07-19,35548
2014-07-20,30476
2014-07-21,42146
2014-07-22,44609
2014-07-23,43096
2014-07-24,42055
2014-07-25,45811
2014-07-26,34516
2014-07-27,28762
2014-07-28,42102
2014-07-29,65274
2014-07-30,38288
2014-07-31,38353
2014-08-01,42758
2014-08-02,40503
2014-08-03,31026
2014-08-04,45258
2014-08-05,47702
2014-08-06,45970
2014-08-07,45872
2014-08-08,44770
2014-08-09,39748
2014-08-10,30747
2014-08-11,47154
2014-08-12,49921
2014-08-13,47290
2014-08-14,46847
2014-08-15,37400
2014-08-16,52664
2014-08-17,25392
2014-08-18,42843
2014-08-19,45058
2014-08-20,46912
2014-08-21,47409
2014-08-22,40116
2014-08-23,42619
2014-08-24,29514
2014-08-25,43107
2014-08-26,42864
2014-08-27,41514
2014-08-28,40029
2014-08-29,42339
2014-08-30,33038
2014-08-31,29905
2014-09-01,39886
2014-09-02,42681
2014-09-03,42488
2014-09-04,40425
2014-09-05,40713
2014-09-06,33764
2014-09-07,26547
2014-09-08,42944
2014-09-09,42243
